keyword,count,avg_points,parent
Point,76,0.4921052631578947,Origin
VineyardsReserve,76,0.3644736842105263,Origin
14,76,0.3717105263157895,Origin
Cruz,76,0.39999999999999997,Origin
Carignan,76,0.4381578947368421,Origin
Hermann,76,0.5164473684210527,Origin
Chapelle,76,0.4947368421052632,Origin
Soave,75,0.3506666666666667,Origin
André,75,0.42333333333333334,Origin
Private,75,0.466,Origin
Organically,75,0.33466666666666667,Origin
Franz,75,0.53,Origin
Dona,75,0.4766666666666667,Origin
Bacalhôa,74,0.4108108108108108,Origin
Hauts,74,0.37905405405405407,Origin
Loring,74,0.5141891891891891,Origin
Maximin,74,0.543918918918919,Origin
Table,74,0.36824324324324326,Origin
Tramier,74,0.31891891891891894,Origin
Leap,74,0.518918918918919,Origin
Fiano,74,0.3932432432432433,Origin
Barone,74,0.4506756756756757,Origin
Sainte,74,0.3932432432432433,Origin
Brian,74,0.5047297297297297,Origin
Malbec-Cabernet,73,0.4301369863013698,Origin
Abbazia,73,0.44931506849315067,Origin
Malbec-Merlot,73,0.4232876712328767,Origin
North,73,0.3732876712328767,Origin
Bella,73,0.386986301369863,Origin
Millesimato,73,0.3780821917808219,Origin
Six,73,0.4089041095890411,Origin
de',73,0.410958904109589,Origin
Blanca,72,0.3020833333333333,Origin
Mâcon-Villages,72,0.2909722222222222,Origin
Alexandre,72,0.4541666666666667,Origin
CellarsEstate,72,0.38680555555555557,Origin
X,72,0.5597222222222222,Origin
Heritage,72,0.36180555555555555,Origin
FilsDomaine,71,0.4070422535211267,Origin
Angel,71,0.43169014084507046,Origin
Winzer,71,0.40070422535211264,Origin
Airfield,71,0.36690140845070424,Origin
Torii,71,0.4063380281690141,Origin
Tamarack,71,0.5049295774647887,Origin
Zero,71,0.4647887323943662,Origin
Spätburgunder,71,0.495774647887324,Origin
Zaca,71,0.5176056338028169,Origin
Selección,71,0.36690140845070424,Origin
RidgeEstate,70,0.4521428571428571,Origin
Mission,70,0.48000000000000004,Origin
Viura,70,0.26285714285714284,Origin
Spring,70,0.5,Origin
BichotDomaine,70,0.5728571428571428,Origin
Poderi,70,0.47357142857142853,Origin
Premium,70,0.40785714285714286,Origin
Saint-Véran,70,0.3542857142857143,Origin
Rex,70,0.49357142857142855,Origin
Bonarda,70,0.345,Origin
Méthode,70,0.45,Origin
Josef,69,0.494927536231884,Origin
Barrica,69,0.34782608695652173,Origin
Carter,69,0.49420289855072463,Origin
Fournier,69,0.408695652173913,Origin
Dusted,69,0.5028985507246377,Origin
Davis,69,0.5072463768115942,Origin
Lagoalva,69,0.3746376811594203,Origin
Grands,69,0.43985507246376815,Origin
Jean-Baptiste,69,0.4405797101449275,Origin
Gris),69,0.3536231884057971,Origin
Castelli,68,0.43308823529411766,Origin
Lone,68,0.4411764705882353,Origin
to,68,0.36323529411764705,Origin
Famille,68,0.47941176470588237,Origin
View,68,0.4198529411764706,Origin
Mark,68,0.5573529411764706,Origin
Madre,68,0.5066176470588236,Origin
Tasca,68,0.3992647058823529,Origin
CellarsReserve,68,0.4029411764705882,Origin
Paolo,68,0.5316176470588235,Origin
Toro,68,0.37720588235294117,Origin
Swan,68,0.5272058823529412,Origin
Vega,67,0.3343283582089552,Origin
Jean-Marc,67,0.508955223880597,Origin
Pacific,67,0.4171641791044776,Origin
Pietro,67,0.43582089552238806,Origin
Mauro,67,0.46417910447761196,Origin
Berg,67,0.5328358208955224,Origin
Farm,67,0.4276119402985075,Origin
Cono,67,0.3268656716417911,Origin
Barbara,67,0.4082089552238806,Origin
Stift,67,0.5149253731343284,Origin
Terres,67,0.4208955223880597,Origin
6,67,0.48731343283582085,Origin
Pauly,67,0.47611940298507466,Origin
Sangiovese),66,0.3924242424242424,Origin
José,66,0.4022727272727273,Origin
Mar,66,0.4803030303030303,Origin
Osmin,66,0.39015151515151514,Origin
O.,66,0.3696969696969697,Origin
Willow,66,0.4348484848484848,Origin
Negroamaro,66,0.34696969696969693,Origin
Left,66,0.4121212121212121,Origin
Lionel,66,0.39015151515151514,Origin
City,66,0.45606060606060606,Origin
Vieux,65,0.49230769230769234,Origin
Kosher,65,0.2976923076923077,Origin
Cà,65,0.3861538461538462,Origin
Dutton-GoldfieldDutton,65,0.59,Origin
Sol,65,0.45076923076923076,Origin
Canoe,65,0.3553846153846154,Origin
Leonard,65,0.3630769230769231,Origin
Drouhin,65,0.4976923076923077,Origin
Greco,65,0.4138461538461538,Origin
Mont,65,0.4123076923076923,Origin
Standing,65,0.3430769230769231,Origin
Konstantin,65,0.41846153846153844,Origin
Hawk,65,0.39692307692307693,Origin
Morellino,64,0.36171875,Origin
Flora,64,0.50625,Origin
Stone,64,0.44921875,Origin
Flying,64,0.4984375,Origin
Vina,64,0.42578125,Origin
CarolinaReserva,64,0.3234375,Origin
Patz,64,0.56640625,Origin
HillStillwater,64,0.48046875,Origin
Grosse,64,0.6265625,Origin
Hollow,64,0.459375,Origin
Dolcetto,64,0.33203125,Origin
Cramele,63,0.32222222222222224,Origin
Elena,63,0.46746031746031746,Origin
Kendall-JacksonVintner's,63,0.37063492063492065,Origin
Merlot-Cabernet,63,0.41031746031746036,Origin
Moscatel,63,0.3944444444444445,Origin
Tufo,63,0.39126984126984127,Origin
Alpha,63,0.523015873015873,Origin
:Nota,63,0.40634920634920635,Origin
Zinfandel),63,0.3968253968253968,Origin
Lost,63,0.38015873015873014,Origin
Vernaccia,62,0.3548387096774194,Origin
Anthony,62,0.45161290322580644,Origin
Vidal,62,0.3951612903225806,Origin
Tres,62,0.3153225806451613,Origin
Vie,62,0.39838709677419354,Origin
Emile,62,0.4508064516129032,Origin
Gimignano,62,0.3548387096774194,Origin
En,61,0.5188524590163934,Origin
Bosco,61,0.4311475409836066,Origin
Betz,61,0.6450819672131147,Origin
Baglio,61,0.3950819672131148,Origin
Coeur,61,0.42049180327868857,Origin
Terras,61,0.4098360655737705,Origin
No,61,0.48114754098360657,Origin
Mascalese,61,0.4704918032786885,Origin
Lalande,61,0.4639344262295082,Origin
Bois,61,0.39590163934426226,Origin
Reichsgraf,61,0.5631147540983606,Origin
Prosecco,61,0.32295081967213113,Origin
Domäne,60,0.5175,Origin
Producteurs,60,0.38416666666666666,Origin
Fritz,60,0.5533333333333333,Origin
à,60,0.44333333333333336,Origin
Luna,60,0.36500000000000005,Origin
Belle,60,0.35500000000000004,Origin
Barons,60,0.32166666666666666,Origin
Donkey,60,0.4966666666666667,Origin
Livio,60,0.4841666666666667,Origin
Clones,60,0.47333333333333333,Origin
Field,60,0.40249999999999997,Origin
Volpe,60,0.3491666666666667,Origin
Arinto,60,0.365,Origin
VineyardsChardonnay,60,0.3408333333333333,Origin
Cortes,60,0.39166666666666666,Origin
Sonoma,60,0.3691666666666667,Origin
Run,59,0.4101694915254237,Origin
Viñedos,59,0.41355932203389834,Origin
Marques,59,0.4186440677966102,Origin
Blanche,59,0.3949152542372881,Origin
Nittnaus,59,0.511864406779661,Origin
Fumé,59,0.4127118644067797,Origin
Hans,59,0.4635593220338983,Origin
Royal,59,0.4703389830508475,Origin
los,59,0.3957627118644068,Origin
Jacques,59,0.5194915254237288,Origin
Mario,59,0.4271186440677966,Origin
Viu,59,0.3516949152542373,Origin
Anniversary,58,0.4827586206896552,Origin
Goldtröpfchen,58,0.47758620689655173,Origin
Trockenbeerenauslese,58,0.6887931034482759,Origin
Lee,58,0.4853448275862069,Origin
5,58,0.4560344827586207,Origin
CreekCabernet,58,0.3853448275862069,Origin
R,58,0.4491379310344828,Origin
August,58,0.49137931034482757,Origin
Ghost,58,0.4025862068965517,Origin
Nerello,58,0.47844827586206895,Origin
Grgich,58,0.43793103448275866,Origin
CellarsChardonnay,57,0.3508771929824561,Origin
Van,57,0.39736842105263154,Origin
Belles,57,0.44298245614035087,Origin
E.,57,0.5587719298245615,Origin
Viñas,57,0.4236842105263158,Origin
Catena,57,0.5543859649122808,Origin
Lagrein,57,0.4298245614035088,Origin
Sobon,57,0.3517543859649123,Origin
Malvasia,56,0.3633928571428572,Origin
Peachy,56,0.41250000000000003,Origin
Friulano,56,0.39285714285714285,Origin
Falanghina,56,0.3696428571428571,Origin
