type,varieties,abv,degree,sweet,acidity,body,tannin
Rotwein,Andere Weine,0.28888888888888886,0.85,0.0,0.5,0.75,0.5
Weißwein,Chardonnay,0.26666666666666666,0.55,0.0,0.5,0.5,0.0
Rotwein,Merlot,0.26666666666666666,0.85,0.0,0.5,0.5,0.5
Rotwein,Bordeaux Blend Red,0.0,0.0,0.0,0.5,0.75,0.75
Weißwein,Andere Weine,0.16666666666666666,0.55,0.5,0.25,0.5,0.0
Rotwein,Andere Weine,0.16666666666666666,0.55,0.25,0.25,0.75,0.25
Rotwein,Merlot,0.28888888888888886,0.85,0.0,0.5,0.75,0.5
Rotwein,Montepulciano,0.28888888888888886,0.85,0.0,0.75,0.5,0.5
Rotwein,Sangiovese,0.28888888888888886,0.85,0.0,0.5,0.25,0.5
Weißwein,Trebbiano,0.26666666666666666,0.85,0.0,0.5,0.5,0.0
Rotwein,Montepulciano,0.3111111111111111,0.85,0.0,0.5,0.5,0.5
Weißwein,Trebbiano,0.3111111111111111,0.55,0.0,0.5,0.5,0.0
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,0.5,0.5,0.0
Rotwein,Montepulciano,0.3,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3044444444444444,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3044444444444444,0.85,0.0,0.5,0.75,0.5
Rotwein,Cabernet Sauvignon,0.29333333333333333,0.85,0.0,0.75,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3,0.875,0.0,0.5,0.75,0.5
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.75,0.75,1.0
Rotwein,Malbec,0.3,0.85,0.0,0.5,0.5,0.75
Weißwein,Sauvignon blanc,0.29333333333333333,0.525,0.0,0.75,0.25,0.0
Rotwein,Pinot Noir,0.3111111111111111,0.85,0.0,0.75,0.5,0.25
Rotwein,Pinot Noir,0.3111111111111111,0.85,0.0,0.75,0.25,0.25
Rotwein,Pinot Noir,0.3111111111111111,0.85,0.0,0.5,0.5,0.25
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.31555555555555553,0.85,0.0,0.5,0.75,0.75
Weißwein,Chardonnay,0.31555555555555553,0.55,0.0,0.5,0.5,0.0
Weißwein,Sauvignon blanc,0.3,0.85,0.0,0.75,0.25,0.0
Weißwein,Sauvignon blanc,0.28888888888888886,0.55,0.0,0.5,0.25,0.0
Rotwein,Carmenere,0.3,0.85,0.0,0.25,0.25,0.25
Rotwein,Merlot,0.3,0.875,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.5,0.5,0.5
Rotwein,Carmenere,0.3,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3111111111111111,0.85,0.0,0.5,0.5,0.5
Rotwein,Syrah & Shiraz,0.3111111111111111,0.85,0.0,0.5,0.75,0.5
Rotwein,Merlot,0.3,0.85,0.0,0.5,0.5,0.5
Rotwein,Merlot,0.3111111111111111,0.85,0.0,0.75,0.5,0.75
Weißwein,Sauvignon blanc,0.28888888888888886,0.55,0.0,1.0,0.25,0.0
Rotwein,Malbec,0.0,0.0,0.0,0.5,1.0,0.75
Rotwein,Merlot,0.0,0.0,0.0,0.5,0.5,0.5
Rotwein,Andere Weine,0.0,0.0,0.0,0.5,0.5,0.5
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.75,0.75,0.5
Weißwein,Chardonnay,0.2777777777777778,0.55,0.0,0.5,0.75,0.0
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,0.75,0.5,0.0
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.5,0.5,0.5
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.75,0.5,0.25
Weißwein,Chardonnay,0.28888888888888886,0.575,0.0,0.75,0.5,0.0
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.5,0.75,0.5
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,0.5,0.75,0.0
Weißwein,Chardonnay,0.28888888888888886,0.45,0.0,0.75,0.75,0.0
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,0.75,1.0,0.0
Weißwein,Chardonnay,0.3,0.45,0.0,0.75,0.5,0.0
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.5,0.75,0.5
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.5,0.75,0.5
Rotwein,Pinot Noir,0.28888888888888886,0.875,0.0,0.5,0.75,0.5
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.5,0.75,0.5
Rotwein,Pinot Noir,0.3111111111111111,0.85,0.0,0.75,0.75,0.5
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.75,0.5,0.25
Roséwein,Corvina,0.27555555555555555,0.85,0.0,0.75,0.5,0.0
Weißwein,Garganega,0.2711111111111111,0.85,0.0,0.5,0.5,0.0
Weißwein,Garganega,0.28888888888888886,0.85,0.0,0.75,0.5,0.0
Rotwein,Andere Weine,0.34444444444444444,0.85,0.25,0.25,1.0,0.5
Rotwein,Andere Weine,0.34444444444444444,0.85,0.25,0.5,1.0,0.5
Rotwein,Andere Weine,0.2777777777777778,0.85,1.0,0.5,1.0,0.25
Rotwein,Andere Weine,0.2977777777777778,0.85,0.0,0.75,0.5,0.5
Rotwein,Corvina,0.2777777777777778,0.85,0.0,0.75,0.5,0.25
Rotwein,Andere Weine,0.3,0.85,0.0,0.75,0.5,0.25
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.75,0.75,0.75
Rotwein,Merlot,0.3066666666666667,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3111111111111111,0.85,0.0,0.5,0.75,0.5
Rotwein,Merlot,0.3044444444444444,0.85,0.0,0.5,0.75,0.75
Rotwein,Cabernet Sauvignon,0.3044444444444444,0.85,0.0,0.75,0.75,0.75
Weißwein,Chardonnay,0.3111111111111111,0.55,0.0,0.5,0.5,0.0
Rotwein,Merlot,0.3044444444444444,0.85,0.0,0.5,0.75,0.5
Rotwein,Syrah & Shiraz,0.3066666666666667,0.85,0.0,0.75,0.75,0.75
Weißwein,Viognier,0.3066666666666667,0.45,0.0,0.5,0.25,0.0
Weißwein,Sauvignon blanc,0.26666666666666666,0.55,0.0,0.5,0.25,0.0
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Rotwein,Merlot,0.32222222222222224,0.85,0.0,0.5,0.75,0.5
Rotwein,Merlot,0.32222222222222224,0.85,0.0,0.5,1.0,0.75
Weißwein,Semillon,0.24444444444444444,0.45,0.0,0.5,0.25,0.0
Rotwein,Grenache,0.25555555555555554,0.85,0.0,0.5,0.25,0.25
Weißwein,Semillon,0.24444444444444444,0.55,0.5,0.5,0.25,0.0
Rotwein,Merlot,0.3,0.85,0.0,0.5,0.75,0.75
Rotwein,Cabernet Sauvignon,0.3,0.9,0.0,0.75,1.0,0.75
Rotwein,Merlot,0.28888888888888886,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.75,0.5,0.5
Rotwein,Cabernet Franc,0.32222222222222224,0.875,0.0,0.5,0.75,0.5
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.85,0.0,0.5,0.5,0.75
Rotwein,Merlot,0.2777777777777778,0.85,0.0,0.5,0.5,0.75
Rotwein,Andere Weine,0.26666666666666666,0.85,0.0,0.5,0.75,0.5
